COCD|Name             |  GLON|   GLAT|Dist|E(B-V)|logt|  r1|  r2|Sol|Sam| N2|  rc|e_rc|  rt|e_rt|   k| e_k| logM|e_logM
 376|NGC 6152         |332.91|  -3.15|1030|0.20  |8.65|0.10|0.36|4  |2  | 54| 1.1|0.2 | 9.3| 1.1| 8.0| 2.2|2.565|0.161
 380|NGC 6193         |336.71|  -1.57|1155|0.47  |6.90|0.08|0.25|1  |3  | 11| 0.8|0.6 | 4.8| 0.9| 3.8| 2.7|1.705|0.256
 387|NGC 6242         |345.47|   2.47|1131|0.38  |7.63|0.10|0.28|4  |1  | 18| 0.6|0.4 | 7.8| 4.9| 6.5| 5.1|2.359|0.810
 389|NGC 6249         |341.53|  -1.18| 981|0.44  |7.54|0.07|0.20|3  |1  | 12| 0.9|0.6 | 5.4| 3.5| 3.9| 2.5|1.863|0.830
 392|NGC 6281         |347.72|   1.98| 494|0.15  |8.51|0.10|0.45|4  |1  | 35| 0.8|0.3 | 6.3| 2.7|11.1| 2.9|2.006|0.563
 393|Sco OB4          |352.39|   3.44|1100|0.20  |6.82|0.40|1.70|4  |1  |102|13.1|1.6 |60.5| 6.5| 0.2| 0.0|5.021|0.145
 396|vdBergh-Hagen 221|353.97|   3.00| 750|0.20  |8.01|0.08|0.23|3  |2  | 15| 1.1|0.4 | 4.2| 0.8| 6.4| 2.2|1.507|0.264
 402|NGC 6383         |355.68|   0.05| 985|0.30  |6.71|0.08|0.25|3  |2  | 12| 3.3|2.0 | 5.0| 0.8| 3.8| 1.8|1.769|0.211
 406|Collinder 338    |351.70|  -3.29| 880|0.25  |8.65|0.10|0.26|3  |2  | 10| 1.4|0.7 | 6.1| 1.3| 1.8| 0.8|2.015|0.278
 407|NGC 6400         |352.58|  -3.24| 950|0.11  |8.78|0.07|0.21|4  |1  | 10| 0.7|0.5 | 6.5| 4.1| 3.2| 2.3|2.098|0.825
 408|NGC 6405         |356.62|  -0.74| 487|0.14  |7.91|0.11|0.40|4  |1  | 16| 1.0|0.4 | 4.3| 0.9| 5.9| 1.8|1.528|0.284
 410|Alessi 9         |344.13|  -9.13| 195|0.07  |8.42|0.60|1.40|3  |1  | 16| 1.2|0.4 | 9.5| 3.5| 2.3| 0.5|2.526|0.479
 411|NGC 6416         |356.93|  -1.55| 741|0.25  |8.78|0.10|0.22|4  |4  | 27| 1.1|0.4 | 3.0| 0.4|18.6| 3.2|1.072|0.162
 412|IC 4665          | 30.62|  17.08| 352|0.17  |7.63|0.30|1.00|3  |1  | 20| 1.3|0.4 | 7.1| 1.8| 3.2| 0.7|2.145|0.339
 414|Collinder 350    | 26.79|  14.69| 280|0.37  |8.61|0.20|0.55|4  |2  | 17| 1.8|0.5 | 4.0| 0.6| 7.1| 2.2|1.389|0.191
 418|Sco OB5          |352.38|  -6.20|3310|0.23  |6.86|0.15|0.58|3  |1  | 18|28.3|8.3 |53.6| 6.6| 0.0| 0.0|5.043|0.165
 420|NGC 6475         |355.86|  -4.49| 300|0.10  |8.22|0.20|1.20|2  |1  | 70| 1.9|0.3 |10.3| 1.6| 5.2| 0.5|2.639|0.206
 422|NGC 6494         |  9.88|   2.84| 628|0.36  |8.52|0.15|0.58|4  |3  |126| 1.0|0.2 |11.1| 1.6|17.8| 2.5|2.770|0.197
 423|Collinder 359    | 29.72|  12.63| 640|0.16  |7.45|0.40|1.10|4  |2  | 40| 7.7|1.1 |21.0| 1.9| 0.5| 0.1|3.592|0.122
 427|NGC 6531         |  7.67|  -0.35|1205|0.28  |6.82|0.10|0.30|3  |3  | 21| 0.8|0.4 | 7.1| 1.0| 5.1| 3.0|2.231|0.198
 429|NGC 6546         |  7.32|  -1.43| 938|0.49  |8.72|0.10|0.20|1  |4  | 10| 1.1|0.7 | 4.0| 0.9| 3.7| 1.7|1.470|0.296
 430|vdBergh 113      |  9.13|  -0.77|3470|0.58  |7.50|0.10|0.23|4  |1  | 12| 9.6|4.8 |20.6| 3.4| 0.2| 0.0|3.811|0.218
 434|NGC 6568         |  9.41|  -1.64|1000|0.25  |8.71|0.08|0.22|4  |1  | 11| 1.2|0.7 | 4.8| 1.6| 3.2| 1.6|1.701|0.429
 439|NGC 6604         | 18.24|   1.70|1696|0.95  |6.64|0.07|0.26|4  |1  | 12| 2.4|1.4 | 8.8| 2.3| 1.0| 0.4|2.561|0.341
