# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|Loden 915        |13 34 17|-59 17.7|      0.030|         0.165|         0.280|  -21.61|        11.76|     709|  8.445|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5901        |07 30 14|+27 01.2|      0.025|         0.130|         0.240|        |             |     709|  9.380|             |            |                                  OPEN STAR CLUSTER|
|Haffner 13       |07 40 28|-30 02.6|      0.020|         0.155|         0.325|   68.00|         5.80|     714|  7.520|        0.275|            |                                  OPEN STAR CLUSTER|
|Alessi 8         |15 29 28|-51 15.3|      0.020|         0.140|         0.260|        |             |     715|  8.105|             |            |                          OB ASSOCIATION/HII REGION|
|Ruprecht 99      |12 03 29|-63 51.6|      0.012|         0.120|         0.210|        |             |     719|  8.375|             |            |                                  OPEN STAR CLUSTER|
|NGC 6793         |19 23 18|+22 08.4|      0.020|         0.135|         0.220|        |             |     724|  8.695|             |            |                                  OPEN STAR CLUSTER|
|Loden 682        |12 47 13|-60 41.4|      0.035|         0.140|         0.215|  -31.00|             |     731|  8.470|             |            |                                  OPEN STAR CLUSTER|
|ASCC 94          |18 15 36|-14 58.5|      0.020|         0.120|         0.270|  -22.85|         3.15|     731|  8.840|        0.078|            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 56 |08 57 07|-43 17.1|      0.015|         0.075|         0.125|  -18.00|         0.01|     737|  7.300|             |            |                                  OPEN STAR CLUSTER|
|ASCC 86          |17 02 15|-58 58.2|      0.040|         0.300|         0.500|   -6.00|         3.70|     738|  8.050|             |            |                          OB ASSOCIATION/HII REGION|
|NGC 2358         |07 17 01|-17 09.3|      0.020|         0.160|         0.300|        |             |     739|  8.785|             |            |                                       UNIDENTIFIED|
