# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|Ruprecht 46      |08 02 11|-19 27.9|      0.015|         0.060|         0.095|        |             |    1467|  8.150|             |ast         |                                  OPEN STAR CLUSTER|
|Harvard 16       |17 31 16|-36 48.3|      0.020|         0.100|         0.180|        |             |    1467|  7.940|        0.081|            |                                  OPEN STAR CLUSTER|
|MWSC 5701        |18 49 34|-53 51.6|      0.012|         0.075|         0.130|        |             |    1467|  8.750|             |            |                                  OPEN STAR CLUSTER|
|NGC 2189         |06 12 07|+01 03.3|      0.020|         0.070|         0.150|        |             |    1468|  9.175|        0.078|non         |                                  OPEN STAR CLUSTER|
|FSR 0031         |18 06 29|-21 22.8|      0.015|         0.092|         0.140|        |             |    1468|  8.550|             |irc         |                                  OPEN STAR CLUSTER|
|MWSC 5621        |03 48 38|+22 16.2|      0.015|         0.075|         0.140|        |             |    1468|  9.460|        0.130|            |                                  OPEN STAR CLUSTER|
|FSR 1688         |14 34 37|-56 06.9|      0.025|         0.075|         0.115|        |             |    1469|  8.455|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1451         |09 47 37|-37 03.3|      0.015|         0.065|         0.115|        |             |    1470|  8.500|             |            |                                  OPEN STAR CLUSTER|
|NGC 6520         |18 03 27|-27 53.7|      0.020|         0.090|         0.155|  -26.00|         2.65|    1472|  7.755|        0.216|            |                                  OPEN STAR CLUSTER|
|MWSC 5572        |01 54 18|-78 57.9|      0.020|         0.070|         0.140|        |             |    1472|  9.300|             |            |                                  OPEN STAR CLUSTER|
|ESO 426-26       |06 36 18|-30 51.9|      0.018|         0.075|         0.155|        |             |    1474|  9.215|             |rem         |                                  OPEN STAR CLUSTER|
|Trumpler 28      |17 37 01|-32 28.8|      0.020|         0.110|         0.175|    7.00|             |    1474|  6.600|             |            |                                  OPEN STAR CLUSTER|
|Sct OB3          |18 24 47|-14 12.0|      0.020|         0.110|         0.210|    3.30|        17.00|    1475|  6.100|             |ass         |                          OB ASSOCIATION/HII REGION|
|Ruprecht 120     |16 35 10|-48 18.0|      0.020|         0.060|         0.115|        |             |    1476|  8.450|             |            |                                  OPEN STAR CLUSTER|
|Collinder 185    |08 23 20|-36 19.8|      0.010|         0.075|         0.130|        |             |    1477|  8.180|             |            |                                  OPEN STAR CLUSTER|
|Harvard 9        |15 33 50|-53 40.8|      0.010|         0.070|         0.120|        |             |    1478|  8.250|             |            |                                  OPEN STAR CLUSTER|
|BDSB 106         |18 01 35|-24 50.1|      0.020|         0.075|         0.110|        |             |    1478|  7.150|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 2609         |08 29 32|-61 06.0|      0.020|         0.060|         0.085|        |             |    1481|  8.480|             |            |                                  OPEN STAR CLUSTER|
|Loden 995        |13 54 18|-64 57.0|      0.020|         0.105|         0.165|   -6.06|         1.22|    1481|  8.625|             |            |                                  OPEN STAR CLUSTER|
|Pismis 24        |17 25 34|-34 24.0|      0.014|         0.045|         0.090|        |             |    1481|  6.000|             |            |                                             NEBULA|
|Sgr OB7          |18 14 53|-20 19.2|      0.030|         0.230|         0.480|   -7.19|         3.14|    1481|  6.450|             |ass         |                          OB ASSOCIATION/HII REGION|
|Juchert 3        |19 07 33|+06 17.0|      0.030|         0.090|         0.185|        |             |    1481|  6.000|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5633        |04 33 25|+09 24.0|      0.025|         0.095|         0.161|        |             |    1481|  9.100|             |            |                                  OPEN STAR CLUSTER|
|ASCC 57          |10 10 55|-66 42.0|      0.020|         0.150|         0.215|        |             |    1483|  9.260|        0.036|            |                                  OPEN STAR CLUSTER|
|FSR 0893         |06 13 43|+21 33.1|      0.020|         0.063|         0.125|        |             |    1485|  8.725|             |            |                                  OPEN STAR CLUSTER|
|DBSB 79          |12 48 47|-63 43.7|      0.012|         0.045|         0.085|        |             |    1489|  8.400|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 1663         |04 49 16|+13 10.2|      0.020|         0.120|         0.285|        |             |    1490|  9.400|             |rem         |                                  OPEN STAR CLUSTER|
|NGC 2143         |06 03 12|+05 44.7|      0.010|         0.115|         0.195|        |             |    1490|  9.090|        0.028|            |                                  OPEN STAR CLUSTER|
|vdBergh 1        |06 37 01|+03 04.2|      0.020|         0.100|         0.195|   19.29|         1.57|    1490|  8.315|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 151     |07 41 17|-16 17.4|      0.020|         0.090|         0.150|   33.47|         3.87|    1490|  8.150|             |            |                                  OPEN STAR CLUSTER|
|NGC 5715         |14 43 30|-57 34.0|      0.015|         0.060|         0.115|        |             |    1490|  8.970|        0.028|            |                                  OPEN STAR CLUSTER|
|ESO 043-13       |17 04 44|-74 21.0|      0.020|         0.090|         0.140|        |             |    1490|  9.315|        0.044|            |                                  OPEN STAR CLUSTER|
|Trumpler 26      |17 28 32|-29 29.1|      0.015|         0.100|         0.155|   -9.61|         0.16|    1490|  8.170|        0.041|            |                                  OPEN STAR CLUSTER|
|ESO 521-38       |18 09 22|-24 31.8|      0.010|         0.050|         0.090|        |             |    1490|  8.395|        0.001|            |                                  OPEN STAR CLUSTER|
|MWSC 5697        |18 24 36|-62 11.7|      0.020|         0.065|         0.125|        |             |    1496|  9.250|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 18      |07 24 43|-26 12.6|      0.020|         0.060|         0.125|   31.03|         0.35|    1499|  8.455|        0.023|            |                                  OPEN STAR CLUSTER|
|FSR 1521         |09 55 19|-56 36.9|      0.012|         0.075|         0.140|        |             |    1499|  8.705|        0.065|            |                                  OPEN STAR CLUSTER|
|ASCC 67          |11 41 28|-61 00.6|      0.025|         0.110|         0.220|  -18.60|         7.60|    1500|  7.670|             |            |                                  OPEN STAR CLUSTER|
|ESO 139-13       |17 37 50|-58 08.7|      0.025|         0.100|         0.150|  -33.87|         0.66|    1500|  8.780|             |            |                                  OPEN STAR CLUSTER|
|ASCC 102         |19 24 41|+29 57.6|      0.015|         0.100|         0.165|        |             |    1500|  8.890|        0.016|            |                                  OPEN STAR CLUSTER|
|Pismis 20        |15 15 23|-59 04.0|      0.015|         0.050|         0.085|  -69.55|         2.35|    1501|  7.500|             |            |                                  OPEN STAR CLUSTER|
|NGC 1817         |05 12 20|+16 40.8|      0.028|         0.155|         0.260|   65.33|         0.09|    1504|  8.900|             |            |                                  OPEN STAR CLUSTER|
|FSR 0128         |20 31 01|+04 43.2|      0.010|         0.070|         0.108|        |             |    1504|  9.400|             |            |                                  OPEN STAR CLUSTER|
|FSR 1701         |15 28 26|-56 59.8|      0.010|         0.068|         0.100|        |             |    1505|  8.400|             |            |                                  OPEN STAR CLUSTER|
